,tt ro con ec00 °c cet min15 f 2024-05-22T00:00:00+02:00
2024-05-22 00:00:00+02:00,15.4
2024-05-22 00:15:00+02:00,15.4
2024-05-22 00:30:00+02:00,15.4
2024-05-22 00:45:00+02:00,15.4
2024-05-22 01:00:00+02:00,14.9
2024-05-22 01:15:00+02:00,14.9
2024-05-22 01:30:00+02:00,14.9
2024-05-22 01:45:00+02:00,14.9
2024-05-22 02:00:00+02:00,14.5
2024-05-22 02:15:00+02:00,14.5
2024-05-22 02:30:00+02:00,14.5
2024-05-22 02:45:00+02:00,14.5
2024-05-22 03:00:00+02:00,14.1
2024-05-22 03:15:00+02:00,14.1
2024-05-22 03:30:00+02:00,14.1
2024-05-22 03:45:00+02:00,14.1
2024-05-22 04:00:00+02:00,13.6
2024-05-22 04:15:00+02:00,13.6
2024-05-22 04:30:00+02:00,13.6
2024-05-22 04:45:00+02:00,13.6
2024-05-22 05:00:00+02:00,13.9
2024-05-22 05:15:00+02:00,13.9
2024-05-22 05:30:00+02:00,13.9
2024-05-22 05:45:00+02:00,13.9
2024-05-22 06:00:00+02:00,15.0
2024-05-22 06:15:00+02:00,15.0
2024-05-22 06:30:00+02:00,15.0
2024-05-22 06:45:00+02:00,15.0
2024-05-22 07:00:00+02:00,16.6
2024-05-22 07:15:00+02:00,16.6
2024-05-22 07:30:00+02:00,16.6
2024-05-22 07:45:00+02:00,16.6
2024-05-22 08:00:00+02:00,18.2
2024-05-22 08:15:00+02:00,18.2
2024-05-22 08:30:00+02:00,18.2
2024-05-22 08:45:00+02:00,18.2
2024-05-22 09:00:00+02:00,19.8
2024-05-22 09:15:00+02:00,19.8
2024-05-22 09:30:00+02:00,19.8
2024-05-22 09:45:00+02:00,19.8
2024-05-22 10:00:00+02:00,21.2
2024-05-22 10:15:00+02:00,21.2
2024-05-22 10:30:00+02:00,21.2
2024-05-22 10:45:00+02:00,21.2
2024-05-22 11:00:00+02:00,22.4
2024-05-22 11:15:00+02:00,22.4
2024-05-22 11:30:00+02:00,22.4
2024-05-22 11:45:00+02:00,22.4
2024-05-22 12:00:00+02:00,23.2
2024-05-22 12:15:00+02:00,23.2
2024-05-22 12:30:00+02:00,23.2
2024-05-22 12:45:00+02:00,23.2
2024-05-22 13:00:00+02:00,23.6
2024-05-22 13:15:00+02:00,23.6
2024-05-22 13:30:00+02:00,23.6
2024-05-22 13:45:00+02:00,23.6
2024-05-22 14:00:00+02:00,23.8
2024-05-22 14:15:00+02:00,23.8
2024-05-22 14:30:00+02:00,23.8
2024-05-22 14:45:00+02:00,23.8
2024-05-22 15:00:00+02:00,23.9
2024-05-22 15:15:00+02:00,23.9
2024-05-22 15:30:00+02:00,23.9
2024-05-22 15:45:00+02:00,23.9
2024-05-22 16:00:00+02:00,23.8
2024-05-22 16:15:00+02:00,23.8
2024-05-22 16:30:00+02:00,23.8
2024-05-22 16:45:00+02:00,23.8
2024-05-22 17:00:00+02:00,23.3
2024-05-22 17:15:00+02:00,23.3
2024-05-22 17:30:00+02:00,23.3
2024-05-22 17:45:00+02:00,23.3
2024-05-22 18:00:00+02:00,22.3
2024-05-22 18:15:00+02:00,22.3
2024-05-22 18:30:00+02:00,22.3
2024-05-22 18:45:00+02:00,22.3
2024-05-22 19:00:00+02:00,20.9
2024-05-22 19:15:00+02:00,20.9
2024-05-22 19:30:00+02:00,20.9
2024-05-22 19:45:00+02:00,20.9
2024-05-22 20:00:00+02:00,19.6
2024-05-22 20:15:00+02:00,19.6
2024-05-22 20:30:00+02:00,19.6
2024-05-22 20:45:00+02:00,19.6
2024-05-22 21:00:00+02:00,18.3
2024-05-22 21:15:00+02:00,18.3
2024-05-22 21:30:00+02:00,18.3
2024-05-22 21:45:00+02:00,18.3
2024-05-22 22:00:00+02:00,17.5
2024-05-22 22:15:00+02:00,17.5
2024-05-22 22:30:00+02:00,17.5
2024-05-22 22:45:00+02:00,17.5
2024-05-22 23:00:00+02:00,16.7
2024-05-22 23:15:00+02:00,16.7
2024-05-22 23:30:00+02:00,16.7
2024-05-22 23:45:00+02:00,16.7
2024-05-23 00:00:00+02:00,15.8
2024-05-23 00:15:00+02:00,15.8
2024-05-23 00:30:00+02:00,15.8
2024-05-23 00:45:00+02:00,15.8
2024-05-23 01:00:00+02:00,15.3
2024-05-23 01:15:00+02:00,15.3
2024-05-23 01:30:00+02:00,15.3
2024-05-23 01:45:00+02:00,15.3
2024-05-23 02:00:00+02:00,14.5
2024-05-23 02:15:00+02:00,14.5
2024-05-23 02:30:00+02:00,14.5
2024-05-23 02:45:00+02:00,14.5
2024-05-23 03:00:00+02:00,13.8
2024-05-23 03:15:00+02:00,13.8
2024-05-23 03:30:00+02:00,13.8
2024-05-23 03:45:00+02:00,13.8
2024-05-23 04:00:00+02:00,13.6
2024-05-23 04:15:00+02:00,13.6
2024-05-23 04:30:00+02:00,13.6
2024-05-23 04:45:00+02:00,13.6
2024-05-23 05:00:00+02:00,14.0
2024-05-23 05:15:00+02:00,14.0
2024-05-23 05:30:00+02:00,14.0
2024-05-23 05:45:00+02:00,14.0
2024-05-23 06:00:00+02:00,15.1
2024-05-23 06:15:00+02:00,15.1
2024-05-23 06:30:00+02:00,15.1
2024-05-23 06:45:00+02:00,15.1
2024-05-23 07:00:00+02:00,16.5
2024-05-23 07:15:00+02:00,16.5
2024-05-23 07:30:00+02:00,16.5
2024-05-23 07:45:00+02:00,16.5
2024-05-23 08:00:00+02:00,18.0
2024-05-23 08:15:00+02:00,18.0
2024-05-23 08:30:00+02:00,18.0
2024-05-23 08:45:00+02:00,18.0
2024-05-23 09:00:00+02:00,19.2
2024-05-23 09:15:00+02:00,19.2
2024-05-23 09:30:00+02:00,19.2
2024-05-23 09:45:00+02:00,19.2
2024-05-23 10:00:00+02:00,20.0
2024-05-23 10:15:00+02:00,20.0
2024-05-23 10:30:00+02:00,20.0
2024-05-23 10:45:00+02:00,20.0
2024-05-23 11:00:00+02:00,20.7
2024-05-23 11:15:00+02:00,20.7
2024-05-23 11:30:00+02:00,20.7
2024-05-23 11:45:00+02:00,20.7
2024-05-23 12:00:00+02:00,21.6
2024-05-23 12:15:00+02:00,21.6
2024-05-23 12:30:00+02:00,21.6
2024-05-23 12:45:00+02:00,21.6
2024-05-23 13:00:00+02:00,22.2
2024-05-23 13:15:00+02:00,22.2
2024-05-23 13:30:00+02:00,22.2
2024-05-23 13:45:00+02:00,22.2
2024-05-23 14:00:00+02:00,22.7
2024-05-23 14:15:00+02:00,22.7
2024-05-23 14:30:00+02:00,22.7
2024-05-23 14:45:00+02:00,22.7
2024-05-23 15:00:00+02:00,23.0
2024-05-23 15:15:00+02:00,23.0
2024-05-23 15:30:00+02:00,23.0
2024-05-23 15:45:00+02:00,23.0
2024-05-23 16:00:00+02:00,22.7
2024-05-23 16:15:00+02:00,22.7
2024-05-23 16:30:00+02:00,22.7
2024-05-23 16:45:00+02:00,22.7
2024-05-23 17:00:00+02:00,22.1
2024-05-23 17:15:00+02:00,22.1
2024-05-23 17:30:00+02:00,22.1
2024-05-23 17:45:00+02:00,22.1
2024-05-23 18:00:00+02:00,21.0
2024-05-23 18:15:00+02:00,21.0
2024-05-23 18:30:00+02:00,21.0
2024-05-23 18:45:00+02:00,21.0
2024-05-23 19:00:00+02:00,19.4
2024-05-23 19:15:00+02:00,19.4
2024-05-23 19:30:00+02:00,19.4
2024-05-23 19:45:00+02:00,19.4
2024-05-23 20:00:00+02:00,18.3
2024-05-23 20:15:00+02:00,18.3
2024-05-23 20:30:00+02:00,18.3
2024-05-23 20:45:00+02:00,18.3
2024-05-23 21:00:00+02:00,17.6
2024-05-23 21:15:00+02:00,17.6
2024-05-23 21:30:00+02:00,17.6
2024-05-23 21:45:00+02:00,17.6
2024-05-23 22:00:00+02:00,16.9
2024-05-23 22:15:00+02:00,16.9
2024-05-23 22:30:00+02:00,16.9
2024-05-23 22:45:00+02:00,16.9
2024-05-23 23:00:00+02:00,16.4
2024-05-23 23:15:00+02:00,16.4
2024-05-23 23:30:00+02:00,16.4
2024-05-23 23:45:00+02:00,16.4
2024-05-24 00:00:00+02:00,15.7
2024-05-24 00:15:00+02:00,15.7
2024-05-24 00:30:00+02:00,15.7
2024-05-24 00:45:00+02:00,15.7
2024-05-24 01:00:00+02:00,15.0
2024-05-24 01:15:00+02:00,15.0
2024-05-24 01:30:00+02:00,15.0
2024-05-24 01:45:00+02:00,15.0
2024-05-24 02:00:00+02:00,14.1
2024-05-24 02:15:00+02:00,14.1
2024-05-24 02:30:00+02:00,14.1
2024-05-24 02:45:00+02:00,14.1
2024-05-24 03:00:00+02:00,13.5
2024-05-24 03:15:00+02:00,13.5
2024-05-24 03:30:00+02:00,13.5
2024-05-24 03:45:00+02:00,13.5
2024-05-24 04:00:00+02:00,13.3
2024-05-24 04:15:00+02:00,13.3
2024-05-24 04:30:00+02:00,13.3
2024-05-24 04:45:00+02:00,13.3
2024-05-24 05:00:00+02:00,13.9
2024-05-24 05:15:00+02:00,13.9
2024-05-24 05:30:00+02:00,13.9
